"title","review","rating","date"
"A non-book reader's impressions of ep 1 & 2","I think there was so much focus in getting the rising action started (Percy going on the quest) that they forgot to flesh out the characters and ground the world building.  See lengthy explanation below.  1) Characters - Percy & Grover:  I'm not convinced that Percy and Grover are best friends and genuinely have love for one another. I guess maybe Grover's age would make the relationship seem predatory 💀 but I think Grover's ""betrayals"" (when he got Percy kicked out of school and when he left Sally with the minotaur) would have a better dramatic impact if it was successfully established beforehand that Grover and Percy have a strong bond. I think the episodes really could have used more angst and should have focused more on showing the rift and broken trust in their friendship. It also would've made the end of episode 2 such a good payoff for their arc because it presents as an opportunity for Grover to regain Percy's trust and restore their friendship.  2) Character: Percy's mental health and bullies  I LOVE that scene when Percy confides in his mom at the cabin and tells her that he's scared that something is wrong with his brain. It was very relatable and in a dark humor kind of way made me laugh when his mom tells him that he's a demi-god and then Percy gets taken aback at his mom sounding crazier than him 😭 I think it's really nice that his struggle as a demi-god who perceives the world differently can be related to neurodivergent kids' struggles in real life.  I also like that scene where Percy tries to make sense of Nancy's bullying and has empathy for her possibly unfortunate home life. It shows that Percy has compassion to the people who hurt him, but he is also courageous enough to defend himself when he's had enough. I wish, however, that Nancy was the only bully in the school. I couldn't really make sense of everyone else bullying Percy, much less Grover. Instead of the physical bullying and insulting remarks, I think it would've been a more fitting portrayal if the other kids were more avoidant of Percy and would whisper hurtful rumors or silently judge him with their eyes. I think this better complements Percy's feeling of isolation and low self-esteem.  3) Dialogue - Percy's humor, Luke & Chiron as talking heads  I really enjoyed Walker Scobell's performace in the Adam Project and was hoping to see a bit of that sass in the series, but I felt many of his character's jokes were unsuccessful. To be honest, the thing that made me like Percy's character the most was the non-dialogue scene in which Percy is left by Annabeth alone in the woods, and we see him play with a leaf, a lizard, and whistle a melody while peeing on a log. I think Scobell's talent shined in this scene because he probably had more freedom to improvise in it. I'm assuming his other performances in the series seem so stiff and rigid because of poor direction and another bad case of making the actor say each line word for word.  Another example that supports my assumption is the excessive use of ""narration""--I am putting them in quotes because ""explainer"" is a more accurate term. We see this a bit with Mr. Brunner/Chiron's character, but most especially with Charles Bushnell's performance as Luke, who is supposed to look like a mentor figure for Percy but functioned more as a lazy way of explaining the world building of the story to the audience. This is a bit understandable since Rick Riordan, the book's author, played a big role as the series pilot's co-writer. Considering his background as an author, it then comes as no surprise that he made use of so much ""explainers,"" and struggled to make his expertise in the written word translate well into the visual medium.  Although it is important to collaborate with the book author when making a live-action iteration of a story, it is just as important to recognize the author's inexperience in screenwriting, which in this case, presents a threat to the actors' performance and the series' reception by its audience.","7","20 December 2023"
"Amazing","The story is perfect, the characters are amazing, the visuals are stunning. Other reviews point out that the character's feel off because they don't look like their book counterpart, to which I say that's just plain wrong, Every character feels like they came straight out of the book, their personalities are exactly similar. Complaint's about ""diversity"" and ""not looking like the book"" don't make any sense since this show feels like the book came to life. Go into this show with an open mind and you will be delightfully pleased. There are changes, but from what I can tell they mostly enhance the story and fix plot holes. This show is awesome!","10","20 December 2023"
"Disapointed","I'm dissapointed.  I was so hyped for this but what happened for me was that I had to fast forward through parts of the first episode because it was boring and the acting was bad, espcially by Sally and Gabe.  They made Gabe into a joke. In the books Percy jokes about him, but he is still intimidating and abusive. The movie actually did a good job of portraying that, whereas in the show it seemed like they tried (and failed) to make him comedy relief. It wasn't helped by the fact that the actor was immensly bad at acting. Sally's actress isn't much better in my opinion. She seemed to wait for her cues and gave very little.  I honestly blame the director for not getting the most out of the child actors. Walker Scobell really shone in the scene in episode 2 where he was alone in the forest, but he needs directing when it comes to the more reactory scenes. Most of the times when there was a reveal such as Grover being a satyr, his mum's whereabouts, him being a demigod etc he blinks and doesn't do much else. I don't blame Scobell for this, I soley blame the director at being bad at directing. I think Aryan Simhadri might have been suffering as well in his acting due to a bad script and bad directing. The scene at the end of episode 2, in my opinion, showed how clunky the screebplay and directing is. So far though I really like Leah Jeffries as Annabeth. I think her acting was good along with Charlie Bushnell as Luke.  I think this show suffers a bit because Riordan is not experienced at writing screenplays. There's too much info dumping such as Luke giving a very forced dialouge about his backstory. That can be forgiven, but when the rest of screenplay is similar it becomes a problem. Hopefully it gets better further along as the show developes. But the editing was what was most disappointing to me. The choice to fade to black for several seconds during scene transitions was jarring and annoying and shouldn't be happining in a big production like this. The show lacks urgency a lot of the time due to how it's shot and edited, such as the car scene with the minatour. There was hardly any music or sound to build excitment (this happened in other scenes as well), and I kept wondering if they'd blown their budget and couldn't afford getting good composing for the show.  I honestly considered dropping the show after getting Disney+ specifically to support it, but I'll give it one more chance. My main issue is how badly edited and directed it is. I'm also shocked at how bad some scenes with the adult actors were. The scene at the end of episode 2 with Percy, Chiron Dionysus and Grover for exampel. Scobell wasn't emoting, the acting from Chiron (Glynn Turman) was bad. The pacing was off, Grover strolling in felt like 'maid and butler' dialouge and like Simhadri was waiting for his cues. It felt like a school production of a play. The scene with Sally and Percy at the cabin was another scene that was painful to watch beause of this and Virginia Kull's bad acting along with Scobell not being directed to show more shock. Not to mention the akwardly shot and incredibly rushed scene of the altercation between Percy and Dodds.  I think they rushed the first two episode to get to the quest, and I think that was a mistake. There's no time to truly get to know Percy before turning his world upside down. We lose a lot of who he is to him directly becoming an 'orphaned' hero set out on a quest of revenge and finding his true self. It is also to the detriment of Grover's character since he works as a catalyst for Percy being expelled unlike in the book, causing tensions of conflict between them that didn't exist in the book. And at the moment I am unsure if the show will deal with the consequences of those actions and the tension between them. From what I've seen so far I'm more inklined to believe they will be brushed under the rug, unfortunately. Also, Riordan talked a big game on his website about how he would make a faithful adaption if he were in charge of the movie's script... so far I do not believe he is able to fullfill that claim. I realise he isn't the only one who was in charge of it, but I would have thought he would have put more effort into staying true to Percy's personality. As of the first two episodes Percy doesn't seem very similar to book Percy personalitywise. He doesn't have the sass, he didn't use insults to counter Nancy's bullying or Gabe etc. His sass is a big part of his character and why so many readers love him. You're not supposed to laugh at him but with him. So far the show has us laughing at him.","3","23 December 2023"
"A GREAT START","I used to read the books when I was a little younger and I loved it very much. When Rick Riordan (the author) announces that there's going to be a Percy Jackson TV show, I was so hyped for it. And now after waiting more than a year, it's finally here. Here are my positives and negatives for the first two episodes.  POSITIVES: 1. Pretty much throughout the first two episodes are very faithful to The Lightning Thief.  2. The casting choices are great. I like how Rick chose the ones that matches the characters' personality, humor, fears, etc.  3. The music sounds really good. Good job Bear McCreary!  4. The opening line from Episode 1 blew my mind!  5. The end credits sequences looks pretty cool.  6. Gabe is more funnier than he was in the books.  7. There were a couple of funny scenes which I chuckled a lot.  NEGATIVES: 1. The episodes itself are kinda short. I wish it was like 45-50 minute long.  OVERALL RATING: 9/10 - A great start to my most anticipated show.","9","20 December 2023"
"Makes the Movies Look Good","As a huge Percy Jackson fan and someone that has read every book in the collection, I can confidently say this is a terrible adaptation. The casting is terrible in just about every major role, the pace is sometimes jumpy as well as other times too slow, the dialogue delivery is poor and the humor doesn't hit, they have changed key events from the book while also leaving out important details to the story, the production looks cheaply made. The list could go on and on, but as someone who was looking forward to this being finally being done correctly, I am thoroughly disappointed. As the title says, the movies are by far better than this cash grab remake, and really it's not even close.","1","22 December 2023"
"Wanted to like it","The first episode seemed promising. I actually enjoy young Percy and think the kid can act. However, towards the end of episode one something seemed off and I couldn't put my finger on it. The next episode started out ok, but when it came to the capture the flag scenes it fell flat on its face. I do not mind if they change the adaptation from the source material, but do it in a tasteful fashion. The actress who plays Annabeth is hard to watch and with her bad dialogue she becomes impossible to watch. Finally, in the third episode when they meet Medusa it becomes apparent what is wrong with this show. There really is no suspense or build up. Every episode leaves you wanting to feel something, but the way this show is written an edited makes it hard to truly engage. I am not holding my breathe that things will get better.","3","30 December 2023"
"Amazing so far","I'm overall really pleased about how it turned out. I was a bit worried, but I could not stop smiling the entire two episodes. It's really early to judge, but so far it's been very faithful to the books, and I'm very happy about that. I hope this show gets the praise it deserves. I loved the early percabeth moments and foreshadowing too. Some people didn't like the acting but I thought all the actors did very well. Especially the actor who plays Clarisse. Everytime she came on screen my mom and I always acknowledged her phenomenal acting. I finished watching wishing there was more. I can't wait until next week. 100% Recommend. Please, do not compare it to the movies!","10","20 December 2023"
"Zooooom!!","Now that I've watched three episodes, I have to say that all the good acting and set design, and cinematography is completely wasted on the most ludicrously rushed episodes I have ever seen. Discover a major mythic monster? Naw, you don't need to build that up, just say it straight out. Bond with the campers? We'll have none of that, young man. Places to go; people to see! You get the feeling that someone is pushing you at 90 miles an hour through the whole thing while you sit in an office chair helplessly. I REALLY wanted to love this, but I feel no connection to anything. It's like watching the spark notes version.","3","27 December 2023"
"A Worthy Adaption","Yeah, only two episodes have been released. But I seriously doubt this show will get any worse.  This should've set the bar for Percy Jackson movies and TV. Instead, it only raised it.  Well done Disney!  Finally, something worthwhile.  I just finished watching the first two episode, and I am impressed with: a. Costume design b. Special Effects c. Acting Walker, Aryan, and Leah are very talented; They definitely. Have bright futures ahead of them.  If you love Percy Jackson, don't be afraid to check this show out, because it is absolutely amazing!  I'm looking forward to the third episode on the 27th. Thank you for reading my review.","10","20 December 2023"
"Better than the film already","""We've been expecting you"" One of the most anticipated reboot is here and the first two episodes of this novel adaptation are up. So did the first two live up to expectations? Are they so far better than the film adaptation?  The pacing so far is good as it is an adaptation from a whole book. The series (season 1) tries to retell the story of The Lightning Thief and I must say it is really doing good so far. There are such things that are noticeable to differ from the movie adaptation though but hey this is what the book adaptation should be.  The characters, story, action are all there. You'll enjoy it more if you are a fan of the books or have read them (if you haven't yet then it is a good time to read Riordan's novels). Yet this is still enjoyable for those who have not read the books or have no idea about it. I'm pretty sure that most have ideas about the gods and goddesses such as Poseidon, Zeus and Hades so if you love a good myth, you might as well enjoy this too.  Percy Jackson season 1 is far from over but it is already in good standing. So I only hope that Disney won't screw this up. Now I have my hopes higher for this series! Demi-gods, half bloods, this is a treat for us!  If you haven't watched it yet, might as well start now but you can always wait for the whole season to be complete before watching it's entirety.  And oh by the way, Percy's mom is kinda hot 🔥  Percy Jackson and the Olympians is an 8/10 for me. A good start and probably better episodes are coming!  #percyjackson #percyjacksonandtheolympians.","8","24 December 2023"
"Love it","It follows the story line of the books. Captures the essence of the characters. Is fast paced but doesn't leave anything out.  Overall i'm very Excited. This is so much better than the travesty that was the original attempt (with the Percy Jackson movies)  It reminded me of why I liked the books so much.  I'm really looking forward to watching more. I hope they do not cancel this. I am invested.  The good news is if you're not sure. If you should watch it, just give it a go. You'll know if it's your style within a few minutes. My guess is if you like the books you'll really enjoy this. Just give it a shot.","10","21 December 2023"
"LOVE LOVE LOVE!!!","I first read these books in middle school, I grew up with this series and all of Riordan's books. This series is everything I hoped it would be! The casting is absolutely perfect, the characters feel real and the set and vfx is amazing. The pacing seemed to be a hair off, but I'm guessing it's because the first two episodes are the set up and it will even out in the next. I am so so happy to have an adaptation of these books that feels just as exciting and thrilling as the books. I didn't expect everything to me a 1:1 with the books, and they changed they did make add to the story and even give it more depth. I am so happy with this series!","10","20 December 2023"
"Well done!","I have been waiting so long for this and it has been done well. Having Rick and his family involved was the best move Disney could have made and I am thankful they agreed to go forward with this adaptation. The cast was chosen for their obvious talent and I cant wait to see how they grow together and form that bond of friendship we all know and love. Novel to screen is always a difficult transition. It is awesome to finally see an adaptation stay true to the source material. So worth the wait.  Ignore the negative reviews! Some people are impossible to please and they are the ones who are missing the magic not this adaptation. Truly. I can't wait for more.  Also, having Bear McCreary involved just makes it even better! His work is fantastic. Can't say it enough, well done.","10","20 December 2023"
"Shows & movies simply turn out better when the book's author is involved.","Remember the movies? These two films which basically had _nothing_ in common with the books except the names of the places and characters?  As a long-time fan of Rick Riordans books, I was very sceptic when I first heard that Disney+ was planning to take on the Percy Jackson stories, but when I learned it would be a series this time (meaning probably less rushed, more time for world building and character development), and that the author would be heavily involved in the production, I dared to be cautiously-hopeful.  What shall I say? This series is everything we had hoped for and more! This is what ""bringing a story to life"" means. It is SO true to the books, and the few subtle changes they made are reasonable and even give some scenes more value. All actors give their 100%, the chemistry among the cast is fantastic, and it shows. The props and sets are so beautiful, special effects not quite MCU standard, but convincing enough, and along with the enchanting soundtrack by Bear McCreary, the whole package is a magical experience which made my little nerdy heart very happy.","10","20 December 2023"
"Great start!","My grade 8 class - the prime demographic for this show since the kids are the same age as the characters - have been talking about the new Percy Jackson show a lot and they seem to overwhelmingly enjoy it, discussing plot points and how they'd liked various details about the characters. They were SO upset about Grover snitching near the start of the first episode, haha, and it's been fun listening in on how invested they are in the story. Some have read the books but many haven't, and now some of those students have asked me if I have the books in my class library so they can borrow them.  I myself first read these books because so many of my junior high students told me I ""had to"", and those students have been thrilled with the show, excitedly asking me if I've seen it yet because they want to discuss all their favourite parts. I made a point of watching the first two episodes right away so I could talk about it with them.  Overall, I think this is such a fun adaptation so far. My biggest complaint is the hard cut to black that happens throughout, as if there should be a commercial break, which is weird and jarring on a streaming platform (and hence the 9 stars instead of 10.)  I love that the author cowrites and produces the show. Percy is spot on - his character is a little sarcastic but also earnest and unsure; he stumbles a lot right now, so there's lots of room for growth over the season as he figures out who he is and how he fits in this new world, but he also has already had moments where you can see the hero he'll become. Grover is great as someone trying to be both Percy's protector and his friend and struggling with his own lack of self confidence in the face of more experienced or more powerful characters. Annabeth is determined and knows what she wants, but is also a little distant still (like she is at the start of the book too) and I'm looking forward to seeing more of her so we get to see more of her vulnerability in later episodes. I like that it isn't overacted - I spend my days teaching junior high kids and these depictions all fee spot on and realistic.  I personally especially love how much time was spent establishing Percy's relationship with his mom, and how she still has agency in spite of her unhealthy relationship with Gabe, or when making decisions for Percy's well being even when it costs her (emotionally or physically). I'm very much looking forward to the rest of the season as it expands on the first book!","9","22 December 2023"
"Could be better","I mean, no. The first episode was a disaster. Things picked up in the 2nd episode especially with the entry of annabeth and luke. Both of them played their roles wonderfully. But the acting of percy seems very forced and the whole mrs dodds scene in the first episode was so rushed. Why is Percy not more confused about all that was happening? Also, gabe was supposed to be scarier and wtf was that scene with sally showing the red jacket to the minotaur.  Didn't like percy's acting at all till now, it just doesn't feel like Percy, he seems more like Jason Grace now idk if that's because of his hair or his seriousness, but maybe things will pickup from the 3rd episode.","6","20 December 2023"
"Casting home run!","2 episodes into this rendition of Percy Jackson already shows the impact the deep involvement of the writer of the books Rick Riodan has had on the production. Faithfulness to the script alone sets this apart from the very average two movies in 2010 and 2013. But what lifts this series to a whole much higher level of quality is the incredible chemistry of the lead actors. Walker Scobell's almost perfect fit as Percy comes as no surprise after his stunning debut aged 12 as the young Adam in The Adam Project and backed up in his showing a year later in Secret Headquarters. He brings an incredible mix of vulnerability, sass and adolescent energy and intensity to the screen that brings Percy to vibrant life. The chemistry wlth Annabeth (Leah Jeffries) and Grover (Aryan Simhadri) is next level and absolutely makes the show. Casting kids essentially the same age of their characters is always preferable especially when your casting choice is a home run!","9","22 December 2023"
"I really enjoyed it! Solid adaption","There is a lot of flack being thrown around because of the actors being different than how they look in the books which is understandable. But the tv show is solid. The acting is on point and the story is almost 1 for 1 with the books. The actors not looking exactly the same is a small price to pay for a stellar tv show that holds to the books in every other aspect. Based on the first 2 episodes I would highly recommend it to anyone. It does the story justice, the actors play the characters well and the tv show as a whole is well made. Don't let the critics turn you off to the series, because it is great!","10","20 December 2023"
"Bad. Really bad.","Barely made it through the first episode. It's really bad. Writing is terrible and acting might be worse, if possible. I thought the original movies were bad, this show almost makes them look good  Need more characters so ignore all this:  Barely made it through the first episode. It's really bad. Writing is terrible and acting might be worse, if possible. I thought the original movies were bad, this show almost makes them look good Barely made it through the first episode. It's really bad. Writing is terrible and acting might be worse, if possible. I thought the original movies were bad, this show almost makes them look good Barely made it through the first episode. It's really bad. Writing is terrible and acting might be worse, if possible. I thought the original movies were bad, this show almost makes them look good.","5","29 December 2023"
"MOVIES AREN'T BOOKS","Nor are TV series. You would never be able to have something on screen EXACTLY like the book. People need to realize that, accept that, and get over it. Just because what you see on the screen isn't how you imagined it your head doesn't mean the show or movie is bad. It means you're afraid of change and can't let go of childish things. So far is this show like the book? Yes, more so than the movie, but they also had to make changes to make it flow from page to screen better. Is it perfect? No, but no movie or TV show is. Nor, by the way, are they a 1. Especially just because they didn't cast someone YOU wanted in the role. Sigh. Stupidity hurts the brain.","9","22 December 2023"
"It could have been better","I'm a huge fan of Percy Jackson, after I watched the movie I even started with the book and it was really great. Now with this new Disney adaptation I'm disappointed first it look like they didn't have the budget for the production design when we know it's not possible but that sense of immersion we had with the movies in camp didn't really feel it. The action scenes are not that good and the first fight with that Minotor was complete trash come on...last I think the whole cast is wrong not because the don't act well but because they are just too young for the role I know the first book is with an early teen Percy Jackson around 12-13 years old but they are demigods so they're supposed to be stronger the cast of the movie was way better it just doesn't feel right with this cast cause how can they really fight when they're so short and weak which explain the Minotor scenes...for me it's a no go but I'm still gonna watch it cause I'm a fan but I feel like Apple TV or even HBO would have done a better job cause Disney is too childish and bright just imagine a Disney version of Harry Potter...","6","29 December 2023"
"THE ADAPTION WE WAITED THIS WHOLE TIME","This 2 first episodes have been amazing, the story is so good, the vfx, the music, the production design, everything, and dont get me start it with the cast, because they are THE CAST; Walker Scobell, Aryan Simhadri, Leah Jeffries, Charlie Bushnell, Dior Goodjohn, Virginia Kull, Olivea Morton and Azriel Damian were born to play there characters, but i think the most remarkable one is Walker as Percy, he IS Percy Jackson, he has he essence, he has his personality, he has a great chemistry with his friends, I absolutely love the way he express all those feelings that are passing by Percy's mind with just looking at his eyes. I hope the series keeps going in the same direction and we will be haing the adaptation we deserved.","10","20 December 2023"
"Haven't read the books in a while but....","As a 20-year-old, this show leans a tad on the juvenile side for me. However, I loved the books as a kid and wanted to give the show a try because the trailer seemed very enticing. I'm only half way through the second episode so far and it's alright, nothing exceptional in my opinion. As far as casting, I was excited to see The Adam Project's Walker Scobell as the iconic lead and thus far his performance has been decent. I personally could not care less if the characters' physical traits do not reflect that of their book counterparts. The outrage over the casting is incredibly transparent and I'm not surprised, it's simply unfortunate how close-minded people can be. The acting performances and embodiment of the characters far outweigh any changes in appearance, or at least they should. As someone who loved the original movies despite the poor critical and audience reception, I will be sticking with the show in hopes of improvement!! After all, we never got to see the film series get a proper ending as the final three books weren't adapted. I'm wishing for the best with this series!","7","21 December 2023"
"It really is a shame","So potencial and money wasted... It really is a shame.  Scobell acting is the only thing that make it worth watching...  The resto of it is true waste of time. The first episode is boring, full of unnecessary scenes that don't give anything more to the storie. There was no shortage of forced characters with weak acting.  The excess green screen, which by the way is horrible, takes away more from immersion than helps us insert ourselves into the universe.  In 2 episodes it was possible to see Rick Riordan helping to destroy the legacy that his book series gained. Unfortunately, there are still 6 more episodes to go.  I hope this series doesn't end up overshadowing the careers of good actors from this new generation like Scobell... From the success of Project Adam straight into the mud with Disney :(","2","20 December 2023"
"Nostalgic Adaptation","The first few episodes are everything I've hoped for. I was so disappointed seeing the movies because they weren't accurate to the book. With this TV show, the actors are perfect as the characters and the show really highlights the important details and events so well! The overall quality of the show is great. So far, I love the details they added, especially with Medusa. I hope it gets renewed for all the seasons. I can't wait to see characters that show up in the upcoming books, especially Nico. I would love if it does well enough, if we would get to see the Heros of Olympus as well. So excited to see this series unfold and the characters to grow as they did in the books!","10","27 December 2023"
"Release it all at once","I love the show already. The characters, the cinematography and the writing is just how I imagined.  It doesn't matter they don't look like the book descriptions, they act like the characters and that's enough.  Although I am really enjoying the show so far... the weekly release is messing with the flow and makes it feel inconsistent.  I wish they had just dropped it all on the same day to binge.  Especially as the majority of the viewers have read the books so the story isn't a mystery worth 7 weeks.  I hope they change this in future seasons and it'll help especially with the negative review regarding just the first few episodes.","10","27 December 2023"
"This is a mockery of the books.","I don't understand why anyone likes this show.  I don't understand those who say this is so much more like the books than the movies. The people cast in this series are nothing like the characters in the books. Just because the kids are younger than those cast in the movie doesn't make it better. At least the kids in the movie had talent. And Logan was a much better Percy.  Details of the books are completely changed in this show and conversations are made up and changed into ridiculous eye rolling moments.  The writing is bad, the acting is worse. It is just sad. This is worse than Netflix originals.  Do yourself a favor and read the books. To me even though there are changes in Percy Jackson and the Lightning Thief, it holds more true to the first book than this sad excuse of a show.","1","31 December 2023"
"How could you","How could you of all people, Rick, let them do this, TWICE?? I grew up with terrible dyslexia and this book series helped me battle it. Books like this would take me a year to struggle through and I'd finish these in a week. I've been waiting for years since the first teaser to the original film, which was perfect by the way before you changed it!!!! I had so much hope for this, I hoped that since you'd be on set that you'd be able to keep it faithful but no you screwed it up again. This should be a tale of caution for any and all authors to not let themselves sell their souls for the money. Because that's what you've become Rick. A cold, heartless, sellout. Didn't you write this story for your son? What would he think?","1","30 December 2023"
"Great Series.....","Wow..., I just watched the 1st episodes and decided to wait for all the episodes to be completed, yessss...it's because I love this... totally love this.  The pace, the storyline and the casts is very good, especially Walker Scobel, he will be a big star to my opinion. I fell in love with his act started with Adams Project, and even more in this series, a very good act, everything is so right, so enjoyable to watch, no overacting, everything seems very natural coming from him.  Come on mr. Producer, keep going on this series quicker before Walker Scobel grows into unsuitable age to play Percy Jackson.","9","28 December 2023"
"Not faithful and not good in general","I didn't expect perfect, but I did expect faithful. Yet, it isn't  1) so far from the plot of the book and even the themes/emotions in the first few chapters of the books. It is not even close to the same tale.  2) directing/writing seems to have ruined a lot- such talented child actors for them to fall flat and be bland and (?) silly. The chemistry is off between them. Grover is the most faithful out of all of them. The storyline is strange and flows weird (not even comparative to the book, just in general). It is choppy and rushed. It is too much telling and very little showing or suspense or depth.  3) not interesting. I have very little desire to finish an episode, even to see what is different or bad. The sceneries/sets are often so lovely, but not even that keeps me going.  Three episodes in, and I hope I can make myself try to watch more in hopes it gets better. I wanted to like it, but it is very hard.","2","29 December 2023"
"Very promising start!","I'm writing this after watching the debut episodes, so it's an initial impression that I will update if anything changes, but I was very impressed with the series so far!  I'm not the target audience, but wanted to screen it for my nieces and nephews. I thought it was well done for a kids show, with an engaging plot, lovely scenery, and age-appropriate action. So far, it's tame enough for elementary age kids, but I think interesting enough for older kids, too.  The cast seems to show a good amount of chemistry, although the acting itself is a little uneven, as was the pacing. Minor quibbles that are noticeable, but not distracting, and likely to iron themselves out as the show goes on. Very much looking forward to the rest of the season!","8","21 December 2023"
"Looks promising, we'll see","As a huge fan of the books, the movies from 10 or so years ago didn't exactly impress me. After two episodes of this I realize that a series format might just be what Percy Jackson needed. So far I don't mind the small creative liberties that have been taken, honestly the setup seems better than the first movie.  At this point I won't speculate further as to what the coming episodes will be like, but it has potential. I know to be wary with these kinds of series, but these first two episodes already have me dreaming of future seasons covering the other books.  I really hope the rest of the episodes impress and make this show a hit. The ingredients are there, please, please knock it out of the park.","9","26 December 2023"
"Now THIS is Percy Jackson","Right away, the energy matched that of the books. I'd be more than happy to picture this cast the next time I read the series. Beyond the obvious things like having Percy actually be 12, and having Grover actually be, well, Grover, when I saw Percy with his blue jellybeans, I knew great care had been taken with these characters. Importantly, this feels like it can be enjoyed by the book's intended age demographic! The prior films (which have probably been dunked on enough at this point) had the major issue of being far too adult, especially in the language. Percy Jackson is a 12 year old kid, so 12 year old kids should be able to watch him on TV! The Oracle of Delphi sees good things in the future of this show. Definitely recommend.","10","20 December 2023"
"FAITHFUL AND BEAUTIFUL PACING","This adaptation is going to be one of the best show adaptations ever. So far, other than the casting which is hardly a problem, the show has been faithful to books in storyline. I love how they have paced it so far and tone fits the book. I'm sure we will get more sassy Percy in the following episodes. I really do hope we get a snippet of the Di Angelo siblings when they enter the Lotus Casino. Grover acts exact as he does, and so does Clarisse. Overall, I am beyond satisfied. I can't wait to talk my family's eats off with how good this show is going to be, I have high hopes and I know Riordan will deliver.","9","20 December 2023"
"How can on botch it so bad","Annabeth is described as being athletic and having curly blond hair (like a princess's), tan skin, and stormy gray eyes. Percy Jackson describes her as ""cute"" at first but eventually she becomes ""seriously beautiful.""  Like really how can they botch it that bad. No offense to the actress she is doing the best she can. But really????????? I mean come on. Disney can't seem to get any Character that has been detailed and specifically told people how they look right. Last I checked black hair is not blonde. And brown eyes is not stormy gray. Disney fails to pay attention to detail. Maybe they should go back and read the books again and this time take notes.","6","29 December 2023"
"What a way to end 2023!","I've been waiting for this series to premiere and it finally did! This series stays true to the book as much as if can and never fails to disappoint me. This was the last show that actor Lance Reddick ever did before his death in March of this year. (even though he didn't appear in the first 2 episodes). The first two episodes you can feel the fear that Percy was going through throughout his journey. My honest opinion: 10/10! This series is sooo much better than those movies they made a decade ago. It has heart, soul, diversity, and confirms what wasn't there in the books. What a great premise this was!","10","20 December 2023"
"A MASTERPIECE","WTF IT'S SO BEAUTIFUL I WANNA CRY SO HARD OMG I HOPE THERE WILL BE OTHER SEASONS I NEED ALL THE SAGA I NEED EVERYTHING. I love the details (like luke's scar that was not in the movie, riordan's cameo, the opening and ending scene, EVERYTHING)  It's literally my dream this seeie, finally all the fans have a good (def. More than just good) adaption omg. All the actors are so small and young but yet so good and talented. Walker is perfect for percy just like leah for annabeth and more. I really hope we're going to see all the others books 'cause i need my nico di angelo and leo valdez i swear to god i need them on the screen.","10","20 December 2023"
"ABSOLUTELY AMAZING","If you are wondering if it's worth the watch... IT IS! I started to red percy jackson last year and I have been obsessed ever since. When I heard that there was a show coming I was so excited. The cast is phenomenal. Walker Scobell radiates percy. And if you are still mad or upset about how the characters look then don't watch it its as simple as that. The action scenes like where Percy fights the minatur or when he's fighting Clarisse and her siblings on the beach during capture the flag look so good! I can not wait for the lotus casino episode. If you want to get into Percy jackson but don't want to read the books then watch this. It's the faithful adaptation everyone's been looking for.","10","21 December 2023"
"Just wrong!","Being a TV series, you'd expect it to be closer to the books but they couldn't even get the casting right - if you know the books you'd know Annabeth is blonde with stormy grey eyes and the saytrs wear long trousers and fake feet rather than allowing the Mist to disguise their legs.  I have read all of RR's books, not just the Percy Jackson ones, many times and am now re-reading them in order to fill in the gaps as I struggle through what, appears to be, a disastrous adaptation (after the first three episodes). I will continue to watch, in the hope that it improves, but I have a feeling it won't.  They would be better off finding actors much closer to the characters in the book and creating a full collection of films (or TV series) like the Harry Potter films.","1","30 December 2023"
"Everything the Movies Weren't","After the first three episodes, this is everything the movies weren't and only getting better. Percy, Annabeth, and Grover are all perfect. I felt the movie ripped all three of their personalities away, and it was so refreshing to see them here exactly as intended.  Yes, some changes have been made - all understandable for time, pacing, and book-to-screen translation purposes. Sacrifcing Annabeth a bit in the second episode to show more of Luke, which is necessary for the ending episode. Changing Medusa's storyline to make it more accurate to Greek mtyhology, which also leads into the overall story arch, as well.  This is everything we've been waiting for. Wonderful so far, and I can't wait for more!","10","28 December 2023"
"High hopes squashed","Super disappointed. I was so excited to see the Percy Jackson series get another shot. I thought ""finally, they'll do it justice."" Somehow they screwed it up twice. The acting is bland, I don't feel any emotion coming off of the kid who plays Percy or any other charchter in this adaptation except for the mom. At least Logan Lermans version was funny. Several things cut out, or info dumped, and everything felt rushed. The whole Ms Dodds thing was a blip, they changed Gabe's character to be less hateable, Percy getting the pen felt not important. Events kept happening but no drama or build up actually happened. The scene with capture the flag was also interestingly done, and I don't mean that in a good way. The one good thing is the theme song and the soundtrack. Otherwise...as someone who grew up with these books when they first originally came out, I'm upset. With Rick being onboard, I had hope, safe to say that's gone.","6","21 December 2023"
"Fantastic Adaptation of a Fantastic Book","This show is absolutely incredible. The cinematography and special effects are masterful and of the highest caliber. The storyline stays true to the books while incorporating some new elements that will keep even the most avid reader surprised. The writing is a perfect balance of intensity and humor and heart that touches on all types of emotions.  This cast has truly embodied the very essence of the characters that fans of Rick Riordan's beloved books know and adore. To criticize the casting choices based on physical attributes is to completely miss and disregard the complex and multidimensional characters that Rick so brilliantly created. Both long-time Percy Jackson fans as well as newer fans who watch this show will see the excellent decisions made in casting; from the main leads to more minor characters, they absolutely nailed it.  Percy Jackson is engaging and entertaining for many different age groups and can be appreciated by anyone. Disney undeniably has a hit on it's hands and I look forward to seeing the next episodes.","10","20 December 2023"
